# sw_down lw_down tot_rain tot_snow t wind pstar q
0.0000e+00 2.2500e+02 0.0000e+00 0.0000e+00 2.6924e+02 2.4015e+00 9.7863e+04 2.2676e-03
0.0000e+00 2.3531e+02 0.0000e+00 0.0000e+00 2.6990e+02 2.9494e+00 9.7891e+04 2.3997e-03
2.8162e+01 2.7491e+02 1.8501e-05 0.0000e+00 2.7243e+02 2.7887e+00 9.8038e+04 3.1389e-03
1.4237e+02 2.9033e+02 1.9629e-05 0.0000e+00 2.7507e+02 4.9213e+00 9.8036e+04 3.8150e-03
7.7415e+01 2.9572e+02 1.4899e-05 0.0000e+00 2.7439e+02 2.0672e+00 9.8134e+04 3.9785e-03
4.2126e-01 2.9786e+02 0.0000e+00 0.0000e+00 2.7314e+02 1.8057e+00 9.8231e+04 3.7440e-03
0.0000e+00 2.9255e+02 0.0000e+00 0.0000e+00 2.7240e+02 1.6625e+00 9.8275e+04 3.5010e-03
0.0000e+00 2.7231e+02 0.0000e+00 0.0000e+00 2.7025e+02 1.9939e+00 9.8209e+04 2.9427e-03
0.0000e+00 2.6366e+02 0.0000e+00 0.0000e+00 2.7145e+02 2.5629e+00 9.8165e+04 3.1079e-03
0.0000e+00 2.6855e+02 0.0000e+00 0.0000e+00 2.7301e+02 3.0589e+00 9.8068e+04 3.3735e-03
3.4936e+01 2.8109e+02 0.0000e+00 0.0000e+00 2.7500e+02 3.3298e+00 9.8122e+04 3.6982e-03
1.5099e+02 2.9429e+02 3.3344e-05 0.0000e+00 2.7757e+02 3.2359e+00 9.7949e+04 4.1211e-03
6.2097e+01 3.1799e+02 2.0980e-05 0.0000e+00 2.7749e+02 3.6335e+00 9.7860e+04 3.9411e-03
1.5989e-01 3.2507e+02 1.1003e-05 0.0000e+00 2.7650e+02 4.2915e+00 9.7834e+04 3.7543e-03
0.0000e+00 3.0876e+02 2.7773e-05 0.0000e+00 2.7777e+02 6.4864e+00 9.7855e+04 3.8460e-03
1.8103e-02 3.3356e+02 5.6446e-05 0.0000e+00 2.7796e+02 8.4900e+00 9.8043e+04 4.8342e-03
0.0000e+00 3.3215e+02 3.2938e-05 0.0000e+00 2.7629e+02 5.8666e+00 9.8252e+04 4.3971e-03
0.0000e+00 3.0307e+02 1.1487e-05 0.0000e+00 2.7556e+02 5.4231e+00 9.8063e+04 4.0109e-03
2.9050e+01 2.9339e+02 0.0000e+00 0.0000e+00 2.7637e+02 5.4326e+00 9.7856e+04 3.5622e-03
1.3140e+02 3.0228e+02 0.0000e+00 0.0000e+00 2.7908e+02 8.0771e+00 9.7522e+04 3.1981e-03
3.4759e+01 3.3843e+02 0.0000e+00 0.0000e+00 2.8046e+02 9.2168e+00 9.7243e+04 3.5116e-03
2.8533e-01 3.4319e+02 2.3601e-05 0.0000e+00 2.7892e+02 8.7506e+00 9.7272e+04 4.5792e-03
0.0000e+00 3.4086e+02 8.0681e-05 0.0000e+00 2.7886e+02 8.4944e+00 9.7126e+04 5.4268e-03
9.2530e-04 3.4115e+02 2.8258e-04 0.0000e+00 2.7926e+02 8.7131e+00 9.6910e+04 5.6619e-03
0.0000e+00 3.5025e+02 3.0086e-04 0.0000e+00 2.8057e+02 1.0318e+01 9.6841e+04 5.1227e-03
0.0000e+00 3.5710e+02 1.1259e-04 0.0000e+00 2.7986e+02 9.5238e+00 9.6942e+04 5.2337e-03
1.5581e+01 3.5129e+02 3.1544e-05 0.0000e+00 2.8072e+02 8.3062e+00 9.6945e+04 5.6826e-03
1.3901e+02 3.2419e+02 8.9886e-06 0.0000e+00 2.8230e+02 8.6459e+00 9.6740e+04 5.9028e-03
9.4262e+01 3.2530e+02 9.2487e-06 0.0000e+00 2.8526e+02 8.8963e+00 9.6535e+04 5.4114e-03
4.8969e-01 3.2761e+02 1.1493e-05 0.0000e+00 2.8276e+02 8.8436e+00 9.6662e+04 5.1063e-03
0.0000e+00 3.3296e+02 3.7365e-05 0.0000e+00 2.8018e+02 8.3052e+00 9.6741e+04 5.2288e-03
4.4094e-02 3.5410e+02 5.5669e-05 0.0000e+00 2.8044e+02 7.7267e+00 9.6699e+04 5.8248e-03
0.0000e+00 3.4560e+02 9.3862e-05 0.0000e+00 2.7931e+02 4.9455e+00 9.6590e+04 5.8450e-03
0.0000e+00 3.1977e+02 1.3816e-04 0.0000e+00 2.7612e+02 4.1588e+00 9.6564e+04 4.7312e-03
1.7328e+01 2.9566e+02 8.8444e-05 0.0000e+00 2.7354e+02 5.6962e+00 9.6828e+04 3.7768e-03
7.6935e+01 3.0074e+02 1.4413e-05 1.8323e-05 2.7280e+02 8.4981e+00 9.6953e+04 3.2683e-03
9.5515e+01 2.7004e+02 1.5040e-05 1.5872e-05 2.7241e+02 9.5032e+00 9.7173e+04 2.8746e-03
4.7780e-01 2.7564e+02 1.1717e-05 1.7035e-05 2.7192e+02 9.5478e+00 9.7303e+04 2.9810e-03
0.0000e+00 2.9560e+02 1.5361e-05 2.5847e-05 2.7234e+02 8.7293e+00 9.7521e+04 2.9350e-03
1.7787e-02 2.9779e+02 1.4661e-05 2.2357e-05 2.7256e+02 7.6141e+00 9.7612e+04 2.9943e-03
0.0000e+00 3.0855e+02 2.0215e-05 3.5071e-05 2.7301e+02 7.7460e+00 9.7654e+04 3.2489e-03
0.0000e+00 3.0438e+02 1.8774e-05 1.2520e-05 2.7283e+02 6.2485e+00 9.7617e+04 2.7548e-03
1.4879e+01 2.9317e+02 1.2827e-05 0.0000e+00 2.7349e+02 5.3358e+00 9.7735e+04 2.5417e-03
1.5548e+02 2.7647e+02 0.0000e+00 0.0000e+00 2.7595e+02 4.7706e+00 9.7588e+04 2.6458e-03
8.5008e+01 2.7883e+02 0.0000e+00 0.0000e+00 2.7750e+02 5.2657e+00 9.7438e+04 2.7414e-03
1.1068e+00 2.7822e+02 0.0000e+00 0.0000e+00 2.7742e+02 4.4482e+00 9.7442e+04 2.3040e-03
0.0000e+00 2.5793e+02 0.0000e+00 0.0000e+00 2.7647e+02 4.1359e+00 9.7463e+04 1.9363e-03
0.0000e+00 2.4508e+02 0.0000e+00 0.0000e+00 2.7584e+02 3.8068e+00 9.7421e+04 1.6650e-03
0.0000e+00 2.4325e+02 0.0000e+00 0.0000e+00 2.7400e+02 3.6332e+00 9.7317e+04 1.6238e-03
0.0000e+00 2.2191e+02 0.0000e+00 0.0000e+00 2.7261e+02 3.3802e+00 9.7162e+04 1.5412e-03
6.0356e+01 2.1402e+02 0.0000e+00 0.0000e+00 2.7396e+02 2.9873e+00 9.7089e+04 2.1216e-03
2.9132e+02 2.3244e+02 0.0000e+00 0.0000e+00 2.8021e+02 2.6645e+00 9.6890e+04 3.5013e-03
1.8399e+02 2.3797e+02 0.0000e+00 0.0000e+00 2.7885e+02 3.5439e+00 9.6762e+04 3.1376e-03
1.1999e+00 2.3569e+02 0.0000e+00 0.0000e+00 2.7579e+02 3.6337e+00 9.6774e+04 2.7133e-03
0.0000e+00 2.4611e+02 0.0000e+00 0.0000e+00 2.7541e+02 3.5659e+00 9.6771e+04 2.5836e-03
4.4388e-02 2.5831e+02 0.0000e+00 0.0000e+00 2.7511e+02 3.4877e+00 9.6681e+04 2.5557e-03
0.0000e+00 2.7177e+02 8.8241e-06 0.0000e+00 2.7576e+02 3.7056e+00 9.6672e+04 2.8342e-03
0.0000e+00 3.0751e+02 0.0000e+00 0.0000e+00 2.7662e+02 3.8052e+00 9.6689e+04 3.2653e-03
2.3234e+01 3.2179e+02 0.0000e+00 0.0000e+00 2.7766e+02 4.2094e+00 9.6821e+04 4.0883e-03
1.5992e+02 3.0747e+02 1.5400e-05 0.0000e+00 2.7882e+02 4.3391e+00 9.6793e+04 4.6457e-03
9.2526e+01 2.9974e+02 0.0000e+00 0.0000e+00 2.7630e+02 3.0267e+00 9.6852e+04 4.3409e-03
5.9008e-01 2.9067e+02 1.3319e-05 0.0000e+00 2.7562e+02 4.4861e+00 9.6888e+04 3.9297e-03
0.0000e+00 2.7025e+02 3.8683e-05 0.0000e+00 2.7481e+02 6.0846e+00 9.7097e+04 4.0196e-03
3.1565e-04 2.8435e+02 0.0000e+00 0.0000e+00 2.7396e+02 3.5224e+00 9.7198e+04 3.7572e-03
0.0000e+00 2.7117e+02 0.0000e+00 0.0000e+00 2.7149e+02 2.4442e+00 9.7065e+04 3.1050e-03
0.0000e+00 2.4904e+02 0.0000e+00 0.0000e+00 2.7089e+02 2.8499e+00 9.6786e+04 2.9427e-03
2.1709e+01 2.7804e+02 0.0000e+00 0.0000e+00 2.7358e+02 3.0635e+00 9.6692e+04 3.2976e-03
1.2343e+02 3.0516e+02 0.0000e+00 0.0000e+00 2.7758e+02 2.6393e+00 9.6516e+04 3.9305e-03
9.8859e+01 3.0140e+02 0.0000e+00 0.0000e+00 2.7890e+02 3.1453e+00 9.6328e+04 3.9027e-03
1.3114e+00 2.6935e+02 0.0000e+00 0.0000e+00 2.7619e+02 3.6294e+00 9.6310e+04 3.5250e-03
0.0000e+00 2.5407e+02 0.0000e+00 0.0000e+00 2.7496e+02 3.5241e+00 9.6233e+04 3.3003e-03
0.0000e+00 2.4009e+02 0.0000e+00 0.0000e+00 2.7338e+02 3.1058e+00 9.6177e+04 2.9688e-03
0.0000e+00 2.2930e+02 0.0000e+00 0.0000e+00 2.7344e+02 3.0125e+00 9.6230e+04 3.0986e-03
0.0000e+00 2.3016e+02 0.0000e+00 0.0000e+00 2.7256e+02 2.6287e+00 9.6220e+04 3.0705e-03
5.5972e+01 2.4242e+02 0.0000e+00 0.0000e+00 2.7420e+02 2.1082e+00 9.6242e+04 3.4412e-03
2.4006e+02 2.7884e+02 0.0000e+00 0.0000e+00 2.7930e+02 1.9924e+00 9.6123e+04 4.2972e-03
1.2518e+02 2.8533e+02 0.0000e+00 0.0000e+00 2.7905e+02 3.6216e+00 9.5919e+04 4.3253e-03
1.0388e+00 3.0539e+02 0.0000e+00 0.0000e+00 2.7831e+02 3.4693e+00 9.5927e+04 3.9302e-03
0.0000e+00 3.0729e+02 0.0000e+00 0.0000e+00 2.7782e+02 2.6610e+00 9.5968e+04 3.8889e-03
2.4464e-02 2.9680e+02 0.0000e+00 0.0000e+00 2.7651e+02 2.0493e+00 9.5980e+04 3.9844e-03
0.0000e+00 3.0681e+02 1.3802e-05 0.0000e+00 2.7545e+02 2.3426e+00 9.6080e+04 4.1587e-03
0.0000e+00 3.2917e+02 4.3001e-05 0.0000e+00 2.7521e+02 2.2882e+00 9.6206e+04 4.4949e-03
3.7781e+00 3.3090e+02 9.4177e-05 0.0000e+00 2.7483e+02 3.6840e+00 9.6392e+04 4.3659e-03
2.5445e+01 3.2835e+02 8.2582e-05 4.4887e-05 2.7429e+02 3.7133e+00 9.6463e+04 4.2010e-03
1.9419e+01 3.2534e+02 3.7555e-05 2.4649e-05 2.7380e+02 2.6663e+00 9.6689e+04 4.0450e-03
1.9586e-01 3.2311e+02 2.3396e-05 2.4026e-05 2.7338e+02 1.7147e+00 9.6797e+04 3.9983e-03
0.0000e+00 3.2082e+02 1.8215e-05 2.8678e-05 2.7316e+02 1.8374e+00 9.6878e+04 3.9351e-03
0.0000e+00 3.2374e+02 0.0000e+00 0.0000e+00 2.7314e+02 1.5992e+00 9.6930e+04 3.9292e-03
0.0000e+00 3.2363e+02 0.0000e+00 0.0000e+00 2.7307e+02 2.9030e+00 9.7001e+04 3.7211e-03
0.0000e+00 3.2347e+02 0.0000e+00 0.0000e+00 2.7321e+02 1.4159e+00 9.6948e+04 3.7241e-03
1.4182e+01 3.2149e+02 0.0000e+00 0.0000e+00 2.7357e+02 1.4536e+00 9.6973e+04 3.6813e-03
1.8425e+02 2.8955e+02 0.0000e+00 0.0000e+00 2.7527e+02 1.2855e+00 9.6845e+04 3.4761e-03
1.2162e+02 2.9636e+02 0.0000e+00 0.0000e+00 2.7496e+02 1.1245e+00 9.6746e+04 3.9132e-03
1.0792e+00 2.8100e+02 0.0000e+00 0.0000e+00 2.7293e+02 1.9168e+00 9.6746e+04 3.6619e-03
0.0000e+00 2.7805e+02 0.0000e+00 0.0000e+00 2.7163e+02 2.0582e+00 9.6708e+04 3.3469e-03
